C#,CNAME,TEACHER,PERIOD,CREDIT
AUTO040105,自动化专业概论,蔡远利,16.0,1.0
AUTO200127,计算机科学与人工智能的数学基础I,汪建基,64.0,4.0
AUTO200327,信息论,"陈霸东,杨勐",32.0,2.0
AUTO200527,储能系统检测与估计,张乐,32.0,2.0
AUTO400305,运筹学I,翟桥柱,48.0,3.0
AUTO400427,机器人导航技术实验,袁泽剑,32.0,1.0
AUTO400505,自动控制原理 I 下,杨清宇,32.0,2.0
AUTO400627,脑信号处理实验,陈霸东,32.0,1.0
AUTO400727,强化学习与自然计算,"薛建儒,张元林",64.0,4.0
AUTO400927,机器人学基础,徐林海,56.0,3.0
AUTO401027,多智能体与人机混合智能,"郑南宁,张雪涛",40.0,2.0
AUTO401327,人工智能的现代方法I-问题表达与求解,辛景民,40.0,2.5
AUTO402127,人工智能工具、平台与系统,刘剑毅,40.0,2.0
AUTO440805,计算机网络原理与应用,杨静,48.0,2.5
AUTO441105,运动控制系统,"杨旸,刘小勇",40.0,2.5
AUTO441905,现代数字信号处理2,刘剑毅,48.0,3.0
AUTO500427,游戏AI设计与开发,刘龙军,22.0,1.0
AUTO501027,信息物理融合能源系统,"管晓宏,徐占伯,吴江,刘烃,刘坤",32.0,2.0
AUTO501127,智能感知与移动计算,惠维,38.0,2.0
AUTO501227,智能信息融合,韩德强,32.0,2.0
AUTO540105,过程控制与系统,郑辑光,32.0,2.0
AUTO540205,计算机控制技术,葛思擘,32.0,2.0
AUTO540605,工业系统综合自动化基础,高峰,32.0,2.0
AUTO542705,自动控制原理专题实验2,景洲,16.0,0.5
AUTO543005,“运动控制系统”专题实验,刘源,32.0,1.0
AUTO543105,“现代检测技术”专题实验,刘瑞玲,32.0,1.0
AUTO543205,“计算机控制技术”专题实验,景洲,32.0,1.0
AUTO543305,电子线路设计设计训练专题实验2,刘美兰,24.0,0.75
AUTO543605,过程控制与系统专题实验,"刘瑞玲,王莹",32.0,1.0
AUTO543805,系统建模与仿真,卫军胡,32.0,2.0
AUTO545005,智能控制,胡怀中,32.0,2.0
AUTO545405,移动机器人,吕娜,32.0,2.0
AUTO545505,数字图像与视频处理,"兰旭光,张雪涛",40.0,2.5
AUTO545605,无线传感器网络,"姚向华,刘静",32.0,2.0
AUTO545705,网络与信息安全,刘烃,40.0,2.0
AUTO545805,计算智能,柯良军,32.0,2.0
AUTO545905,导航与制导原理,兰剑,32.0,2.0
AUTO546205,智能机器人基础,曹建福,32.0,2.0
CODE520011,数字逻辑设计专题实验,张斌,32.0,1.0
COMP000105,计算机科学技术导论,"郑庆华,师斌",16.0,1.0
COMP200327,计算机体系结构,任鹏举,48.0,3.0
COMP200853,微机原理与接口技术,吴宁,56.0,3.0
COMP201553,数据库基础及应用,赵英良,32.0,2.0
COMP201853,计算机程序设计,顾刚,64.0,3.0
COMP250105,离散数学A,钱屹,64.0,4.0
COMP250405,大学计算机基础（民族预科）,张伟,56.0,3.0
COMP250505,算法设计与问题求解,乔亚男,48.0,2.0
COMP250605,大学计算机I,崔舒宁,56.0,3.0
COMP250905,面向对象与数据分析（C#）,房琛琛,40.0,2.0
COMP251005,大学计算机IV,谢涛,56.0,3.0
COMP251105,数据库基础及应用,贾应智,36.0,2.0
COMP251205,Python数据处理,贾应智,48.0,2.5
COMP252005,数字逻辑电路,王萍,48.0,3.0
COMP300205,程序设计基础,夏秦,56.0,3.0
COMP300627,计算机科学基础和高级程序设计-1,钱屹,32.0,2.0
COMP300727,嵌入式智能系统,李保红,40.0,2.0
COMP300927,数据结构与算法 V,郑卫斌,48.0,3.0
COMP350405,数据结构与算法A（拔尖班）,"乔亚男,薄钧戈",80.0,4.0
COMP400127,无线传感器网络,范建存,32.0,2.0
COMP400327,程序设计思想方法与实践,杨义军,64.0,3.0
COMP400527,人工智能导论,罗敏楠,32.0,2.0
COMP450305,形式语言与编译,赵银亮,56.0,3.5
COMP451105,编译器设计专题实验,戴慧珺,32.0,1.0
COMP460605,计算机网络专题实验,张利平,32.0,1.0
COMP460705,计算机系统综合设计实验,王龙翔,32.0,1.0
COMP460805,传感与检测专题实验,张利平,32.0,1.0
COMP460905,认知计算与机器学习,鲍军鹏,40.0,2.0
COMP461405,数据库系统,任雪斌,64.0,3.5
COMP461505,计算机体系结构,陈衡,56.0,3.0
COMP462105,数据库系统,冯中慧,48.0,2.5
COMP462205,算法分析与设计,"赖欣,王嘉寅",48.0,2.5
COMP462305,计算机原理与嵌入式系统,杨晨,48.0,3.0
COMP462705,物联网原理,"桂小林,安健,丁菡",56.0,3.5
COMP462805,物联网信息安全,"桂小林,戴慧珺",40.0,2.0
COMP500127,3D计算机图形学,刘跃虎,38.0,2.0
COMP550305,面向对象程序设计,李保红,48.0,2.5
COMP550605,组合数学,蔺杰,32.0,2.0
COMP550705,软件定义网络,"张鹏,唐亚哲",40.0,2.0
COMP551005,汇编语言,张兴军,48.0,2.5
COMP553005,电子系统设计专题实验2,郑卫斌,16.0,0.5
COMP560105,计算机组成原理,"张克旺,王换招",48.0,3.0
COMP560805,物体标识与管理专题实验,安健,32.0,1.0
COMP561705,软件工程,鲍军鹏,32.0,2.0
COMP561805,JAVA语言程序设计,王志文,40.0,2.0
COMP562205,计算机视觉与模式识别,苏远歧,48.0,2.5
CORE100105,表达与交流,"王兆宏,陈希,闫理贺,管晓宏",48.0,3.0
CORE100127,人工智能导论,辛景民,32.0,2.0
CORE100305,基于“互联网+”背景的创业基础,黄健,48.0,2.0
CORE100405,大数据思维与科学创新,"王平辉,朱海萍,LI CHEN,叶凯,田锋",32.0,2.0
CORE102500,纳米科技前沿,"姚翠萍,方吉祥,尤红军,贺永宁",32.0,2.0
EELC000227,微电子科学与工程导论,"张鸿,程军,张国和,耿莉",16.0,1.0
EELC200105,微机原理与应用技术,"姚向华,王志国",56.0,3.0
EELC200227,半导体物理与器件专题实验2,雷冰洁,24.0,0.5
EELC300127,数字逻辑电路Ⅱ,李昕,48.0,3.0
EELC300227,数字逻辑电路实验Ⅱ,杨栋,32.0,1.0
EELC300505,电子技术实验-2,"郑卫斌,朱正东",16.0,0.5
EELC400105,数字逻辑电路,王龙翔,56.0,3.5
EELC400227,电化学基础,徐友龙,56.0,3.0
EELC400527,电化学基础,徐友龙,56.0,3.0
EELC410605,固体电子学实验1,王景平,32.0,1.0
EELC410805,物理电子学实验1,"刘效增,陈兵",32.0,1.0
EELC410905,微电子学实验,"王景平,姚向华",32.0,1.0
EELC411005,光电子学实验1,田亚玲,32.0,1.0
EELC420405,微电子制造技术,刘明,32.0,2.0
EELC420805,数字集成电路专题实验,齐欢欢,48.0,1.5
EELC420905,模拟集成电路专题实验,齐欢欢,48.0,1.5
EELC421505,电介质物理,"徐卓,魏晓勇,李飞",64.0,3.5
EELC421905,模拟电子系统专题实验,齐欢欢,32.0,1.0
EELC422105,数字系统设计基础,梁峰,32.0,2.0
EELC422205,数字系统设计专题实验,梁峰,32.0,1.0
EELC422305,半导体器件,彭文博,48.0,3.0
EELC422405,模拟集成电路设计II,桂小琰,40.0,2.5
EELC511105,电子材料与器件原理,"周迪,徐然",40.0,2.5
EELC511205,材料物理化学,"李振荣,王玲艳",40.0,2.5
EELC511305,现代微分析导论,"汪敏强,王领航",32.0,2.0
EELC512105,信息显示技术（双语）,胡文波,40.0,2.5
EELC513105,光电子材料与器件（双语）,"YUN FENG,丁文",32.0,2.0
EELC513205,现代光学,"陈烽,杜广庆",40.0,2.5
EELC513305,激光原理与技术,樊叔维,40.0,2.5
EELC520805,集成电路封装技术,李高明,32.0,2.0
EELC521305,大规模集成电路设计基础,王红义,48.0,3.0
EELC522005,微机电系统,韩传余,32.0,2.0
EELC530405,射频电路设计专题实验,田春明,32.0,1.0
EELC530805,信号与系统VI,刘美琴,56.0,3.0
EELC530905,等离子体电子学导论,"李永东,王洪广",32.0,2.0
EELC531005,量子计算与量子电路基础,王大威,32.0,2.0
ELEC300227,电子技术基础,"符均,张育",96.0,5.0
ELEC520205,半导体器件建模,张国和,40.0,2.5
GNED100127,《历史上最伟大的10个方程》,"刘纯亮,曹猛,张贻齐",16.0,1.0
GNED100327,《时间简史》导读,李峰,16.0,1.0
GNED100427,生物信息技术前沿,"许丹,杨晓飞,叶凯",32.0,2.0
GNED100527,艺术与科学的交汇,"管晓宏,杜友田",16.0,1.0
GNED100627,互联网技术与应用,杨琦,32.0,2.0
GNED100727,计算思维与程序设计,杨琦,32.0,2.0
GNED100827,从一到无穷大,"李璟睿,庄建,张楠",16.0,1.0
GNED100927,普通人的诺奖之旅—量子十讲,"牛刚,王玮,问峰,王宏兴",16.0,1.0
GNED106505,卫星导航系统漫谈,杨宜康,32.0,2.0
INFT300105,信号与系统Ⅰ,王霞,64.0,4.0
INFT300127,信号与系统III,王磊,48.0,3.0
INFT300205,信息工程专业导论,罗新民,8.0,0.5
INFT400405,电磁场理论I,"吴胜利,刘建彬",56.0,3.5
INFT400705,信号与系统III,"廖学文,黄健",52.0,3.0
INFT430105,数字信号处理,张懿洁,44.0,2.5
INFT430605,信号与系统实验,"黄健,张渭乐,张建国,王霞",16.0,0.5
INFT430905,电磁场与电磁波,施宏宇,56.0,3.5
INFT431005,无线通信系统虚拟仿真实验,"张世娇,张国梅",16.0,0.5
INFT431105,通信原理实验,张翠翠,16.0,0.5
INFT431505,电子技术实验-2,张翠翠,16.0,0.5
INFT530105,信息论基础The Elements of Information Theory,邓科,40.0,2.5
INFT530205,移动通信,罗新民,40.0,2.5
INFT530905,随机信号分析,李国兵,32.0,2.0
INFT531805,ARM单片机原理与应用,"曹俊,陈伟",48.0,2.0
INFT532705,短距离无线通信专题实验,陈伟,32.0,1.0
INFT533605,电子系统设计基础,张翠翠,32.0,1.0
INFT533705,光纤通信,李杰,40.0,2.5
INFT533805,数据通信与计算机网络,洪伟,40.0,2.5
INFT533905,通信网与程控交换技术,张亦希,40.0,2.5
INFT534005,微机原理及应用,乔瑞萍,48.0,2.5
INFT534105,天线原理,陈娟,32.0,2.0
INFT534205,纠错编码理论,李锋,32.0,2.0
INFT534305,数字图象处理,梁毅军,32.0,2.0
